page;2019-02 pi;2019-02 v;2019-03 pi;2019-03 v;2019-04 pi;2019-04 v;2019-05 pi;2019-05 v;2019-06 pi;2019-06 v;2019-07 pi;2019-07 v;2019-08 pi;2019-08 v;2019-09 pi;2019-09 v;2019-10 pi;2019-10 v;2019-11 pi;2019-11 v;2019-12 pi;2019-12 v;2020-01 pi;2020-01 v;2020-02 pi;2020-02 v;2020-03 pi;2020-03 v;2020-04 pi;2020-04 v;2020-05 pi;2020-05 v;2020-06 pi;2020-06 v;2020-07 pi;2020-07 v;2020-08 pi;2020-08 v;2020-09 pi;2020-09 v;2020-10 pi;2020-10 v;2020-11 pi;2020-11 v;2020-12 pi;2020-12 v;2021-01 pi;2021-01 v;2021-02 pi;2021-02 v;2021-03 pi;2021-03 v;2021-04 pi;2021-04 v;2021-05 pi;2021-05 v;2021-06 pi;2021-06 v;2021-07 pi;2021-07 v;2021-08 pi;2021-08 v;2021-09 pi;2021-09 v;2021-10 pi;2021-10 v;2021-11 pi;2021-11 v;2021-12 pi;2021-12 v;2022-01 pi;2022-01 v;2022-02 pi;2022-02 v;2022-03 pi;2022-03 v;2022-04 pi;2022-04 v;2022-05 pi;2022-05 v;2022-06 pi;2022-06 v;2022-07 pi;2022-07 v;2022-08 pi;2022-08 v;2022-09 pi;2022-09 v;2022-10 pi;2022-10 v
städtebauliche-dichte-geschossflächenzahl-gfz-2015-lor;;;;;;;;;6;5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2011-umweltatlas-wms-2;;;;;;;;;;;;;;;1;1;;;;;;;2;1;5;4;1;1;1;1;1;1;;;;;1;1;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2011-umweltatlas-wms-1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2011-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2011-plr-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
städtebauliche-dichte-geschossflächenzahl-gfz-2011-lor-wms-2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2011-lor-wms-1;;;1;1;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2011-lor-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2008-plr-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;2;2;;;;;6;6;;
städtebauliche-dichte-geschossflächenzahl-gfz-2008-lor-wms-3;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2008-lor-wms;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2008-lor-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
städtebauliche-dichte-geschossflächenzahl-gfz-2008-lor;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sportangebote-marzahn-hellersdorf;10;10;4;4;4;4;14;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spielplatzversorgung-ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¶ffentlich-und-privat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
spielplatzversorgung-öffentlich-wms;;;;;;;;;;;;;1;1;2;2;;;;;;;;;;;;;1;1;3;2;1;1;1;1;;;;;1;1;1;1;3;3;;;;;;;2;1;;;;;;;;;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;
spielplatzversorgung-öffentlich-und-privat-wms;;;;;;;;;;;;;;;1;1;2;2;;;;;;;;;;;2;1;1;1;1;1;5;4;;;;;1;1;2;2;;;1;1;;;1;1;2;1;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;
spielplatzversorgung-öffentlich-und-privat;5;5;3;3;3;3;3;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spielplatzversorgung-öffentlich;3;3;1;1;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spielplatzöffnungen-im-bezirk-pankow;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;31;12;9;11;6;8;6;11;5;5;4;6;6;3;3;1;1;1;1;2;2;4;3;4;4;4;4;3;2;3;2;4;4;15;13;2;2;1;1;3;2;1;1;4;3;2;2;;;;;;;2;2;;;1;1
sozialversicherungspflichtige-beschäftigte-berlin;;;;;;;;;;;;;;;;;;;;;;;;;33;32;23;20;20;20;15;14;19;15;16;13;21;14;10;7;5;5;9;9;2;2;9;7;10;8;20;14;6;6;3;3;2;2;8;5;4;3;17;15;6;6;9;9;11;9;10;10;6;4;5;5;5;5;3;2;1;1;1;1;2;2;5;4;5;3
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-transferausgaben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-nach;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-nac-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-2;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-1;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-hilfe-zur-pflege;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2;2;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-grundsicherung;2;1;1;1;2;2;;;2;2;;;1;1;1;1;2;1;2;2;;;1;1;2;2;;;1;1;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-spezialberichte-lebenslagen;;;;;1;1;;;;;;;;;1;1;;;2;1;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;
sozialstatistisches-berichtswesen-berlin-spezialberichte-kinderarmut;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-spezialberichte-altersarmut;;;2;2;1;1;3;3;4;3;3;3;;;3;3;;;2;2;2;1;4;4;;;;;;;3;2;4;4;2;2;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;1;1;;;;;;;1;1;;;;;;;;
sozialstatistisches-berichtswesen-berlin-spezialberichte;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-hilfe-zum;2;2;4;4;;;2;2;2;2;5;5;7;7;;;3;3;4;4;2;2;5;5;1;1;3;3;4;4;7;7;6;5;4;3;6;2;3;2;1;1;2;2;;;2;2;1;1;;;2;2;4;4;3;3;1;1;3;3;2;2;4;4;2;2;2;2;5;3;2;2;1;1;1;1;;;1;1;;;;;;;1;1
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-hilfe;4;4;1;1;2;2;4;4;2;2;3;3;1;1;1;1;;;2;2;1;1;1;1;2;2;;;;;;;;;2;2;1;1;;;4;4;1;1;2;2;2;2;3;3;1;1;2;2;;;1;1;5;5;;;1;1;4;1;1;1;2;2;3;3;1;1;;;;;;;;;1;1;2;2;;;1;1
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-2;1;1;;;;;3;2;2;2;;;;;1;1;1;1;1;1;;;;;;;1;1;;;;;;;;;;;2;1;2;1;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;2;2;;;;;1;1;1;1;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-1;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;3;3;;;2;2;;;;;1;1;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005;2;2;4;3;2;2;3;3;1;1;2;2;2;2;;;3;3;4;4;3;3;2;2;1;1;1;1;2;2;1;1;2;2;2;2;11;5;2;1;4;4;5;4;6;4;3;3;1;1;1;1;2;2;3;3;3;3;3;3;3;3;7;7;2;2;;;1;1;4;4;4;4;4;3;1;1;1;1;1;1;1;1;1;1;;;2;2
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-ii-sgb-ii-kommunale-ausgaben-1;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-ii-sgb-ii-kommunale-ausgaben-0;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-ii-sgb-ii-kommunale-ausgaben;;;;;;;;;1;1;1;1;;;2;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
sozialstatistisches-berichtswesen-berlin-quartalsstatistiken-zu-den-ausgaben-und-6;;;;;1;1;4;2;1;1;3;1;;;1;1;;;2;1;1;1;2;2;4;2;2;2;2;2;;;1;1;;;2;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;2;1;;;;;1;1;;;;;;;1;1;;
sozialstatistisches-berichtswesen-berlin-quartalsstatistiken-zu-den-ausgaben-und-5;3;2;1;1;;;1;1;;;;;1;1;;;;;;;;;;;;;2;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-quartalsstatistiken-zu-den-ausgaben-und-4;;;;;1;1;1;1;1;1;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
sozialstatistisches-berichtswesen-berlin-quartalsstatistiken-zu-den-ausgaben-und-3;;;;;1;1;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;1;1;1;1;1;1
sozialstatistisches-berichtswesen-berlin-quartalsstatistiken-zu-den-ausgaben-und-2;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-quartalsstatistiken-zu-den-ausgaben-und-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-quartalsstatistiken-zu-den-ausgaben-und-0;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-quartalsstatistiken-zu-den-ausgaben-und;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-quartalsstatisti¬ken-zu-den-ausgaben-und-6;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-quartalsberichte-empfänger-und-leistungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-pflegegeldgesetz-pflegeg-bis-2003-pflegegeld;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empfängerinnen-und-3;22;21;26;26;33;30;25;23;22;21;15;15;22;20;6;6;17;16;23;21;28;26;22;22;26;24;20;18;23;19;18;16;24;22;25;16;35;19;18;11;14;14;5;5;1;1;5;5;5;5;1;1;3;2;3;3;2;2;4;2;2;2;3;3;4;4;5;5;2;2;3;3;1;1;1;1;1;1;;;3;3;;;1;1;;;;
sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empfängerinnen-und-2;6;6;8;7;9;9;6;6;11;11;10;10;10;10;5;5;9;9;12;11;7;6;6;6;7;6;2;2;7;7;6;5;4;3;6;6;11;6;7;3;8;6;1;1;1;1;;;1;1;;;2;2;;;4;3;;;1;1;5;2;1;1;4;4;1;1;2;2;1;1;6;6;;;;;;;1;1;;;3;3;1;1
sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empfängerinnen-und-1;2;2;3;3;2;2;;;2;2;4;4;2;2;;;2;2;7;7;4;4;;;5;5;1;1;4;4;2;1;3;3;1;1;1;1;1;1;2;2;2;2;1;1;;;1;1;2;2;1;1;1;1;;;;;;;;;2;2;;;;;1;1;4;3;1;1;;;2;2;;;1;1;;;;;2;2
sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empfängerinnen-und;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-landespflegegeldgesetz-lpflgg-ab-2004-1;;;1;1;1;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-landespflegegeldgesetz-lpflgg-ab-2004-0;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-landespflegegeldgesetz-lpflgg-ab-2004;1;1;;;;;;;;;;;1;1;;;;;1;1;;;;;1;1;1;1;;;;;;;;;;;;;1;1;;;1;1;1;1;;;;;;;;;;;;;;;;;2;2;1;1;;;1;1;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-jahresstatistiken-zu-den-eckzahlen-und-2;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-jahresstatistiken-zu-den-eckzahlen-und-1;;;;;;;;;2;2;2;2;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;1;1;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-jahresstatistiken-zu-den-eckzahlen-und-0;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
sozialstatistisches-berichtswesen-berlin-jahresstatistiken-zu-den-eckzahlen-und;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-grundsicherungsgesetz-gsig-bis-2004-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
sozialstatistisches-berichtswesen-berlin-grundsicherungsgesetz-gsig-bis-2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
sozialstatistisches-berichtswesen-berlin-grundauswertungen-leistungen-nach-lpflgg;;;;;;;;;1;1;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-grundauswertungen-leistungen-nach-dem-3-kap-sgb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
sozialstatistisches-berichtswesen-berlin-grundauswertungen-leistungen-nach-asylblg;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-grundauswertungen-leistungen-nach-5-9-kapitel;;;1;1;;;1;1;;;2;2;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-grundauswertungen-leistungen-nach-4-kapitel-sgb;;;;;3;2;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-gesundheitsmodernisierungsgesetz-gmg-§264-sgb-v;;;;;1;1;;;1;1;1;1;;;;;;;1;1;;;;;;;;;;;2;2;;;;;;;3;2;;;1;1;;;1;1;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;1;1;1;1
sozialstatistisches-berichtswesen-berlin-bundessozialhilfegesetz-bshg-bis-2004-wohnhilfe;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-bundessozialhilfegesetz-bshg-bis-2004-hilfe-zur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-bundessozialhilfegesetz-bshg-bis-2004-hilfe-0;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-bundessozialhilfegesetz-bshg-bis-2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sozialstatistisches-berichtswesen-berlin-asylbewerberleistungsgesetz-asylblg-1;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;1;1;;;;;;;;
sozialstatistisches-berichtswesen-berlin-asylbewerberleistungsgesetz-asylblg-0;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
sozialstatistisches-berichtswesen-berlin-asylbewerberleistungsgesetz-asylblg;3;3;2;2;6;6;2;2;;;;;1;1;1;1;1;1;1;1;;;1;1;1;1;;;2;2;1;1;1;1;1;1;2;1;;;;;;;4;4;1;1;;;1;1;1;1;;;2;2;2;2;1;1;2;1;2;2;1;1;;;5;5;1;1;6;6;1;1;1;1;;;1;1;1;1;1;1;;
sozialer-zusammenhalt-und-quartiersmanagement-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;1;1;;
soziale-stadt-quartiersmanagement-wms-2;;;;;;;;;;;;;1;1;1;1;1;1;;;;;7;6;5;3;;;3;2;3;2;1;1;;;3;2;3;2;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soziale-stadt-quartiersmanagement-wms;;;1;1;2;2;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;2;2;1;1;1;1;;;;;1;1;2;1;;;;;1;1;;;1;1;;
solaranlagen-thermie-umweltatlas-wms;;;;;;;;;;;;;1;1;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solaranlagen-thermie-umweltatlas;1;1;;;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solaranlagen-thermie-auf-prognoseraumebene-umweltatlas-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solaranlagen-thermie-auf-prognoseraumebene-umweltatlas-0;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solaranlagen-thermie-auf-planungsraumebene-umweltatlas-wfs;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solaranlagen-thermie-auf-planungsraumebene-umweltatlas-0;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solaranlagen-thermie-auf-planungsraumebene-umweltatlas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;
solaranlagen-thermie-auf-bezirksregionebene-umweltatlas-wfs;;;;;;;;;;;;;;;;;;;;;;;1;1;;;3;2;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solaranlagen-thermie-auf-bezirksregionebene-umweltatlas;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
